NTD ID;Legacy NTD ID;Agency Name;Reporter Acronym;Doing Business As;Reporter Type;Reporting Module;Organization Type;Reported By NTD ID;Reported by Name;Subrecipient Type;FY End Date;Original Due Date;Address Line 1;Address Line 2;P.O. Box;City;State;Zip Code;Zip Code Ext;Region;URL;FTA Recipient ID;DUNS Number;Service Area Sq Miles;Service Area Pop;Primary UZA;UZA Name;Tribal Area Name;Population;Density;Sq Miles;VOMS DO;VOMS PT;Total VOMS;Volunteer Drivers;Personal Vehicles;TAM Tier;Number of State Counties;Number of Counties with Service; State Admin Funds Expended 
00012;0012;Municipality of Anchorage;MOA PTD;Public Transportation Department;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;632 W 6Th Ave Ste 810;;196650;Anchorage;AK;99501;6312;10;http://www.peoplemover.org/;1707;076667013;77;202.396;149;Anchorage, AK;;251.243;2.956;85;45;117;162;;;Tier II;;;  
00014;0T14;Sitka Tribe of Alaska;STA;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;456 Katlian St;;;Sitka;AK;99835;7505;10;www.sitkatribe.org;6669;067348383;0;0;0;Alaska Non-UZA;Sitka ANVSA, AK;0;0;0;3;;3;;;Tier II;;;  
00015;0T15;Snoqualmie Indian Tribe;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;9571 Ethan Wade Way Se;;969;Snoqualmie;WA;98065;;10;http://www.svtbus.org/;6685;963676044;;;0;Washington Non-UZA;Snoqualmie Reservation, WA;0;0;0;6;;6;;;Tier II;;;  
00016;0016;RiverCities Transit;RCT;;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;254 Oregon Way;;128;Longview;WA;98632;;10;http://www.rctransit.org/;1747;612643619;31;61.598;431;Longview, WA-OR;;63.952;1.946;33;9;15;24;;;Tier II;;;  
00017;0T17;Stillaguamish Tribe of Indians;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;3322 236Th St Ne;;277;Arlington;WA;98223;7233;10;http://www.stillaguamish.com/;6801;034340406;;;0;Washington Non-UZA;Stillaguamish Reservation and Off-Reservation Trust Land, WA;0;0;0;17;;17;;;Tier II;;;  
00018;0018;Ben Franklin Transit;BFT;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;1000 Columbia Park Trail;;;Richland;WA;99352;4851;10;http://www.bft.org/;1742;061038006;616;302.460;171;Kennewick-Pasco, WA;;210.975;2.059;102;370;18;388;;;Tier I (Non-Fixed Route VOMS);;;  
00019;0019;Intercity Transit;I.T.;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;526 Pattison St Se;;659;Olympia;WA;98501;2076;10;http://www.intercitytransit.com/;1745;050154525;101;192.400;195;Olympia-Lacey, WA;;176.617;1.673;106;289;;289;;;Tier I (Non-Fixed Route VOMS);;;  
00020;0020;Kitsap Transit;;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;60 Washington Ave Ste 200;;;Bremerton;WA;98337;1888;10;http://www.kitsaptransit.com/;1746;803857184;396;254.183;180;Bremerton, WA;;198.979;1.458;136;253;4;257;;;Tier II;;;  
00021;0021;Whatcom Transportation Authority;WTA;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;4011 Bakerview Spur;;;Bellingham;WA;98226;8066;10;http://www.ridewta.com/;5092;155747561;776;227.801;275;Bellingham, WA;;114.473;2.379;48;99;3;102;;;Tier II;;;  
00022;0022;City of Pocatello;PRT;Pocatello Regional Transit;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/09/2020;31/01/2021;911 N 7Th Ave;;4169;Pocatello;ID;83201;7700;10;http://www.pocatellotransit.com/;1737;073112690;27;169.849;395;Pocatello, ID;;69.809;2.251;31;28;;28;;;Tier II;;;  
00023;0023;City of Seattle;SMS;Seattle Center Monorail;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;370 Thomas St, Ste 200;Second Floor;;Seattle;WA;98109;4635;10;http://www.seattlemonorail.com/;1749;832190248;83;753.655;14;Seattle, WA;;3.059.393;3.028;1.010;;8;8;;;Tier I (Rail);;;  
00024;0024;Clark County Public Transportation Benefit Area Authority;C-TRAN;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;2425 Ne 65Th Ave;;2529;Vancouver;WA;98661;6809;10;http://www.c-tran.com/;1729;044938447;143;431.605;24;Portland, OR-WA;;1.849.898;3.528;524;182;;182;;;Tier I (Fixed Route VOMS);;;  
00025;0025;Salem Area Mass Transit District;SAMTD;Cherriots;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;30/06/2020;31/10/2020;555 Court St Ne Ste 5230;Suite 5230;;Salem;OR;97301;3980;10;http://www.cherriots.org/;1740;046259230;68;230.118;156;Salem, OR;;236.632;3.117;76;53;87;140;;;Tier II;;;  
00026;0T26;Bristol Bay Native Association;BBNA;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;1500 Kanakanak Rd;;310;Dillingham;AK;99576;0310;10;http://www.bbna.com/;7163;067639807;63;2.539;0;Alaska Non-UZA;Dillingham ANVSA, AK;0;0;0;;;;;;Tier II;;;  
00027;0T27;Confederated Tribes of Siletz Indians;CTSI;;Reduced Reporter;Tribe;Tribe;;;;30/06/2020;31/10/2020;201 S E Swan Ave;;549;Siletz;OR;97380;2077;10;http://www.ctsi.nsn.us/;7043;114787062;;;0;Oregon Non-UZA;Siletz Reservation and Off-Reservation Trust Land, OR;0;0;0;;;;;;Tier II;;;  
00028;0028;County of Pierce;;Pierce County Ferry;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;950 Fawcett Ave Ste 100;;;Tacoma;WA;98402;5603;10;http://www.co.pierce.wa.us/;5013;071850887;233;844.295;14;Seattle, WA;;3.059.393;3.028;1.010;;2;2;;;Tier II;;;  
00029;0029;Snohomish County Public Transportation Benefit Area Corporation;;Community Transit;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;7100 Hardeson Rd;;;Everett;WA;98203;5834;10;https://www.communitytransit.org/;2578;037420460;258;829.856;14;Seattle, WA;;3.059.393;3.028;1.010;571;95;666;;;Tier I (Fixed Route VOMS);;;  
00030;0T30;Chickaloon Native Village;CATs;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;9255 N Glenn Highway;;;Palmer;AK;99645;;10;http://www.chickaloontransit.com;6666;037410123;;;0;Alaska Non-UZA;Chickaloon ANVSA, AK;0;0;0;2;;2;;;Tier II;;;  
00031;0T31;Shoshone-Bannock Tribes ;SBTDOT;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;85 W Agency Rd Bldg 82;;306;Fort Hall;ID;83203;;10;http://www.sbtribes.com/;6976;793139684;;0;0;Idaho Non-UZA;Fort Hall Reservation and Off-Reservation Trust Land, ID;0;0;0;21;;21;;;Tier II;;;  
00034;0034;Rogue Valley Transportation District;RVTD;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;30/06/2020;31/10/2020;3200 Crater Lake Ave;;;Medford;OR;97504;9075;10;http://www.rvtd.org/;1739;091288639;50;134.122;213;Medford, OR;;154.081;2.381;65;28;20;48;;;Tier II;;;  
00035;0035;Washington State Ferries;WSF;;Full Reporter;Urban;State Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;310 Maple Park Ave Se;;;Olympia;WA;98501;2361;10;http://www.wsdot.wa.gov/ferries/;1724;808883995;1.945;3.919.300;14;Seattle, WA;;3.059.393;3.028;1.010;19;;19;;;Tier II;;;  
00036;0T36;Makah Tribal Council;;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;201 Resort Dr;;;Neah Bay;WA;98357;0115;10;http://www.makah.com/;6907;071845952;;;0;Washington Non-UZA;Makah Indian Reservation, WA;0;0;0;1;;1;;;Tier II;;;  
00040;0040;Central Puget Sound Regional Transit Authority;ST;Sound Transit;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;401 S Jackson St;;;Seattle;WA;98104;2826;10;http://www.soundtransit.org/;5656;958427239;1.087;3.205.700;14;Seattle, WA;;3.059.393;3.028;1.010;263;118;381;;;Tier I (Rail);;;  
00041;0041;Alaska Railroad Corporation;ARRC;;Full Reporter;Urban;State Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;327 Ship Creek Ave W;;107500;Anchorage;AK;99501;1671;10;http://www.alaskarailroad.com;5806;009487042;266;352.701;149;Anchorage, AK;;251.243;2.956;85;33;;33;;;Tier I (Rail);;;  
00043;0043;Chelan Douglas PTBA ;;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;2700 Euclid Ave;;;Wenatchee;WA;98801;5914;10;http://www.linktransit.com/;5606;790160758;197;108.660;412;Wenatchee, WA;;67.227;2.143;31;47;1;48;;;Tier II;;;  
00044;0044;Skagit Transit;SKT;;Full Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;600 County Shop Ln;;;Burlington;WA;98233;9772;10;https://www.skagittransit.org/;5816;840017672;760;116.627;435;Mount Vernon, WA;;62.966;1.827;34;88;;88;;;Tier II;;;  
00045;0045;Fairbanks North Star Borough ;MACS;;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;907 Terminal St;;;Fairbanks;AK;99701;2868;10;http://www.co.fairbanks.ak.us/transportation/;1734;076637651;7.444;97.463;425;Fairbanks, AK;;64.513;1.170;55;14;;14;;;Tier II;;;  
00046;0046;City of Wilsonville;SMART;South Metro Area Regional Transit;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;29799 Sw Town Center Loop E;;;Wilsonville;OR;97070;9454;10;http://www.ridesmart.com/;5706;037600215;80;73.870;24;Portland, OR-WA;;1.849.898;3.528;524;19;;19;;;Tier II;;;  
00047;0047;City of Corvallis;CTS;Corvallis Transit System;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;501 Sw Madison Ave;;1083;Corvallis;OR;97333;4601;10;http://www.corvallisoregon.gov/cts;5664;030796783;14;61.027;436;Corvallis, OR;;62.433;2.957;21;;11;11;;;Tier II;;;  
00048;0048;City of Lewiston;;Lewiston Transit System;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/09/2020;31/01/2021;1134 F St;215 D St;617;Lewiston;ID;83501;1930;10;http://www.ridethevalley.org;5981;040197261;17;50.058;483;Lewiston, ID-WA;;51.924;1.840;28;4;;4;;;Tier II;;;  
00051;0051;Asotin County;PTBA;;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;31/12/2020;30/04/2021;1494 Poplar St;;;Clarkston;WA;99403;2348;10;http://www.asotincoptba.com;6450;830295015;20;21.888;483;Lewiston, ID-WA;;51.924;1.840;28;13;;13;;;Tier II;;;  
00053;0053;Coeur d'Alene Tribe;;Citylink Transit;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;37914 South Nukwalqw Street;;236;Worley;ID;83876;0236;10;http://www.idahocitylink.com/;6807;808783844;388;21.188;304;Coeur d'Alene, ID;Coeur d'Alene Reservation, ID;98.378;2.083;47;7;;7;;;Tier II;;;  
00055;0055;Kootenai County;KC;Kootenai County Citylink North;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/09/2020;31/01/2021;451 Government Way;;9000;Coeur D Alene;ID;83814;2988;10;http://www.kcgov.us/;6283;078207404;32;75.423;304;Coeur d'Alene, ID;;98.378;2.083;47;;4;4;;;Tier II;;;  
00057;0057;Central Oregon Intergovernmental Council;;Cascades East Transit;Full Reporter;Urban;MPO, COG or Other Planning Agency;;;;30/06/2020;31/10/2020;334 Ne Hawthorne Ave;;;Bend;OR;97701;4727;10;https://coic2.org/transportation/;7112;137128062;75;127.940;344;Bend, OR;;83.794;2.110;40;21;22;43;;;Tier II;;;  
00058;0058;City of Portland;PBOT;;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;1221 Sw 4 Ave Rm 340;Suite 1331;;Portland;OR;97204;1900;10;https://www.portland.gov/transportation;1728;054971197;11;90.533;24;Portland, OR-WA;;1.849.898;3.528;524;;15;15;;;Tier I (Rail);;;  
00059;0059;Josephine County;JCT;Josephine Community Transit;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;201 River Heights Way;;;Grants Pass;OR;97527;5432;10;http://www.co.josephine.or.us/SectionIndex.asp?SectionID=164;6746;018742572;80;48.000;494;Grants Pass, OR;;50.520;1.858;27;15;;15;;;Tier II;;;  
00060;0060;The Tulalip Tribes of Washington;TTT;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;6406 Marine Dr;;;Tulalip;WA;98271;9714;10;http://www.tulaliptribes-nsn.gov/;6977;040182198;19;5.303;0;Washington Non-UZA;Tulalip Reservation and Off-Reservation Trust Land, WA;0;0;0;1;;1;;;Tier II;;;  
00061;0061;City of Albany;ATS;;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;333 Broadalbin St Sw;;490;Albany;OR;97321;2247;10;http://www.cityofalbany.net/;5676;093478899;20;50.724;459;Albany, OR;;56.997;2.379;24;13;;13;;;Tier II;;;  
00063;0063;City of Milton-Freewater;;;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;722 S Main St Ste A;;6;Milton Freewater;OR;97862;1453;10;http://www.mfcity.com/;7213;051941763;79;8.640;464;Walla Walla, WA-OR;;55.805;2.017;28;;2;2;;;Tier II;;;  
00064;0064;Valley Transit;VT;;Reduced Reporter;Urban;Independent Public Agency or Authority of Transit Service;;;;31/12/2020;30/04/2021;1401 W Rose St;;;Walla Walla;WA;99362;1687;10;http://www.valleytransit.com/;5607;102891322;25;48.870;464;Walla Walla, WA-OR;;55.805;2.017;28;17;;17;;;Tier II;;;  
00065;0065;Benton County;BCSTF;;Reduced Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/06/2020;31/10/2020;205 Nw 5Th St;;1083;Corvallis;OR;97330;4808;10;https://www.co.benton.or.us/publicworks/page/county-public-transportation-services;1723;081966004;676;92.101;436;Corvallis, OR;;62.433;2.957;21;;12;12;;;Tier II;;;  
00075;0T05;Confederated Tribes of the Grand Ronde Community of Oregon;CTGR;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;9615 Grand Ronde Rd;;;Grand Ronde;OR;97347;9712;10;http://www.grandronde.org/;6678;161155346;0;0;0;Oregon Non-UZA;Grand Ronde Community, OR;0;0;0;;;;;;Tier II;;;  
00085;0T08;Gulkana Village Council;SET;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;Mile 127 Richardson Hwy;;254;Gakona;AK;99586;0254;10;http://www.soaringeagletransit.com;6667;001142814;;;0;Alaska Non-UZA;Gulkana ANVSA, AK - Copper Center ANVSA, AK - Chitina ANVSA, AK - Tazlina ANVSA, AK - Chistochina ANVSA, AK - Gakona ANVSA, AK;0;0;0;3;;3;;;Tier II;;;  
00095;0T11;Lummi Nation;LIBC;Lummi Indian Business Council;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;2665 Kwina Rd;;;Bellingham;WA;98226;9291;10;http://lummi-nsn.gov/;6684;020245247;;;0;Washington Non-UZA;Lummi Reservation, WA;0;0;0;2;;2;;;Tier II;;;  
00103;0T16;Squaxin Island Tribe;;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;10 Se Squaxin Ln;;;Shelton;WA;98584;9200;10;http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/;6686;606460475;;;0;Washington Non-UZA;Squaxin Island Reservation and Off-Reservation Trust Land, WA;0;0;0;4;;4;;;Tier II;;;  
00111;0T03;Confederated Tribes and Bands of The Yakama Nation;CTABOTYN;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;401 Fort Rd;;151;Toppenish;WA;98948;;10;http://www.pahtotransit.com;1724;803886399;0;0;0;Washington Non-UZA;Yakama Nation Reservation and Off-Reservation Trust Land, WA;0;0;0;8;;8;;;Tier II;;;  
00119;0T06;Confederated Tribes of the Umatilla Indian Reservation;CTUIR;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;46411 Timine Way;;;Pendleton;OR;97801;9099;10;https://ctuir.org/tribal-services/planning/kayak-public-transit;6800;131973919;;;0;Oregon Non-UZA;Umatilla Reservation and Off-Reservation Trust Land, OR;0;0;0;7;;7;;;Tier II;;;  
00127;0T07;Cowlitz Indian Tribe;CITDOT;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;1055 9Th Ave Ste B;;2547;Longview;WA;98632;2661;10;http://www.cowlitz.org/;6808;607700478;0;0;0;Washington Non-UZA;;0;0;0;6;;6;;;Tier II;;;  
00135;0T12;Nez Perce Tribe;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;120 Bever Grade;;365;Lapwai;ID;83540;0365;10;http://www.nezperce.org/;1722;078208303;;;0;Idaho Non-UZA;Nez Perce Reservation, ID;0;0;0;4;;4;;;Tier II;;;  
00199;0T23;Seldovia Village Tribe;SVT;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;206 Main St;;;Seldovia;AK;99663;;10;http://www.svt.org/;6744;789480548;;;0;Alaska Non-UZA;Seldovia ANVSA, AK;0;0;0;1;;1;;;Tier II;;;  
00207;0T24;Spokane Tribe of Indians;TME;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;6195 Ford Wellpinit Rd;6195 Ford Wellpinit Rd;100;Wellpinit;WA;99040;;10;http://www.spokanetribe.com/;6937;054658232;;;0;Washington Non-UZA;Spokane Reservation and Off-Reservation Trust Land, WA;0;0;0;11;;11;;;Tier II;;;  
00223;0T28;Jamestown S'Klallam Tribe;JST;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;1033 Old Blyn Hwy;;;Sequim;WA;98382;7670;10;http://www.jamestowntribe.org/;6986;103364097;;;0;Washington Non-UZA;Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA;0;0;0;;;;;;Tier II;;;  
00239;0T34;Ketchikan Indian Community;;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;615 Stedman;;;Ketchikan;AK;99901;;10;www.kictribe.org;7287;936814010;;;0;Alaska Non-UZA;Ketchikan ANVSA, AK;0;0;0;3;;3;;;Tier II;;;  
00271;0T41;Nome Eskimo Community;NEC;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;200 W. 5Th Avenue;;1090;Nome;AK;99762;;10;www.necalaska.org;6985;534862050;;;0;Alaska Non-UZA;Nome ANVSA, AK;0;0;0;1;;1;;;Tier II;;;  
00279;0T40;Hydaburg Cooperative Association;;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;1 Water St;;349;Hydaburg;AK;99922;;10;www.hydatribe.org/transportation.hotmail;7246;134291116;;;0;Alaska Non-UZA;Hydaburg ANVSA, AK;0;0;0;1;;1;;;Tier II;;;  
00373;0R01-012;Treasure Valley Transit;TVT;;Reduced Reporter;Urban;Private-Non-Profit Corporation;;;;30/09/2020;31/01/2021;1136 W Finch Dr;;;Nampa;ID;83651;1732;10;www.treasurevalleytransit.com;1722;884972332;210;148.011;216;Nampa, ID;;151.499;2.183;69;25;;25;;;Tier II;;;  
00376;0R02-022;Ride Connection, Inc.;;;Full Reporter;Urban;Private-Non-Profit Corporation;;;;30/06/2020;31/10/2020;9955 Ne Glisan St;;;Portland;OR;97220;4453;10;http://www.rideconnection.org;1728;180729410;1.192;1.364.620;24;Portland, OR-WA;;1.849.898;3.528;524;45;42;87;;;Tier II;;;  
00400;;Gwichyaa Zhee Tribal Transit Service;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;1936 E 3Rd Ave;;126;Fort Yukon;AK;99740;000;10;;6983;607347754;;;0;Alaska Non-UZA;Fort Yukon ANVSA, AK;0;0;0;1;;1;;;Tier II;;;  
00401;;Lower Elwha Klallam Tribe;LEKT;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;2851 Lower Elwha Road;;;Port Angeles;WA;98363;;10;www.elwha.org;6869;910838085;;;0;Washington Non-UZA;Lower Elwha Reservation and Off-Reservation Trust Land, WA;0;0;0;1;;1;;;Tier II;;;  
00407;;Muckleshoot Indian Tribe;MIT;;Reduced Reporter;Tribe;Tribe;;;;31/12/2020;30/04/2021;39015 172Nd Ave Se;;;Auburn;WA;98092;9763;10;http://www.muckleshoot.nsn.us/;1010;076655851;;;14;Seattle, WA;Muckleshoot Reservation and Off-Reservation Trust Land, WA;3.059.393;3.028;1.010;3;;3;;;Tier II;;;  
00414;;Ninilchik Village;NTC;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;15910 Sterling Hwy;;39070;Ninilchik;AK;99639;9712;10;www.ninilchiktribe-nsn.gov;7320;614159697;;;0;Alaska Non-UZA;Ninilchik ANVSA, AK;0;0;0;2;;2;;;Tier II;;;  
00415;;Ada County Highway District;ACHD CR;ACHD Commuteride;Full Reporter;Urban;City, County or Local Government Unit or Department of Transportation;;;;30/09/2020;31/01/2021;3775 Adams St;;;Boise;ID;83714;6447;10;www.commuteride.com;1736;557547288;15.134;814.966;108;Boise City, ID;;349.684;2.613;134;79;;79;;;Tier II;;;  
00416;;Boise State University;;;Reduced Reporter;Urban;University;;;;30/06/2020;31/10/2020;1910 University Dr;;;Boise;ID;83725;0001;10;https://transportation.boisestate.edu/;1736;072995848;5;29.260;108;Boise City, ID;;349.684;2.613;134;9;;9;;;Tier II;;;  
00417;;Quileute Tribe Community Shuttle;;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;90 Main St;;279;La Push;WA;98350;;10;www.quileutenation.org;;078202728;;;0;Washington Non-UZA;Quileute Reservation, WA;0;0;0;;;;;;Tier II;;;  
00419;;Kenaitze Indian Tribe;KIT;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;150 N Willow St Ste 33;;988;Kenai;AK;99611;9112;10;https://www.kenaitze.org/;6803;149211364;;;0;Alaska Non-UZA;Kenaitze ANVSA, AK;0;0;0;4;;4;;;Tier II;;;  
00420;;Native Village of Unalakleet;NVU;;Reduced Reporter;Tribe;Tribe;;;;30/09/2020;31/01/2021;270 Oceanview;;270;Unalakleet;AK;99684;000;10;https://narf.org/nill/tribes/native_unalakleet.html;7105;088944348;;;0;Alaska Non-UZA;Unalakleet ANVSA, AK;0;0;0;1;;1;;;Tier II;;;  
